postal_code,building_name,location_description,latitude,longitude
120343,,Level 1 Lift Lobby B,1.31790852573142,103.770934449602
120359,,Level 1 Lift Lobby B,1.31349292425577,103.769854781007
121420,420A Casa Clementi,Level 1 Sheng Siong Supermarket Entrance,1.30979102116855,103.768657661297
120462,,Level 1 Lift Lobby C,1.31109876019725,103.765906379277
178957,National Gallery Singapore,Level B1 First Aid Room,1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level B1 Concourse Information Counter,1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level B1 Auditorium Foyer,1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level B2 City Hall Wing (Lift Lobby B),1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level B3 City Hall Wing (Lift Lobby A),1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level 1 City Hall Wing (Lift Lobby A),1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level 1 City Hall Wing Information Counter (Near Coleman Entrance),1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level 1 City Hall Wing (Keppel Centre For Art Education Counter),1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level 1 Atrium Information Counter,1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level 2 City Hall Wing (Lift Lobby A),1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level 2 City Hall Wing (Lift Lobby B),1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level 3 City Hall Wing (Lift Lobby A),1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level 3 City Hall Wing (Lift Lobby B),1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level 4 City Hall Wing (Lift Lobby A),1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level 4 City Hall Wing (Lift Lobby B),1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level 5 City Hall Wing (Lift Lobby A),1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level 5 City Hall Wing (Lift Lobby B),1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level 1 Supreme Court Wing (Reception Counter Near Lift Lobby G),1.29075150227868,103.85176884833
178957,National Gallery Singapore,"Level 3 Supreme Court Wing (UOB Gallery), Next To Lift Lobby E",1.29075150227868,103.85176884833
178957,National Gallery Singapore,Level 4M Supreme Court (Near Public Toilet),1.29075150227868,103.85176884833
307506,Square 2,Level 2 FCC,1.32044103104797,103.844192628979
98970,Shangri-La's Rasa Sentosa Resort & Spa,Level 5 Front Office Counter,1.3091316668874,103.891799999957
98970,Shangri-La's Rasa Sentosa Resort & Spa,Level 1 Poolside Towel Stand,1.3091316668874,103.891799999957
98970,Shangri-La's Rasa Sentosa Resort & Spa,Level 3 Security Checkpoint FCC,1.3091316668874,103.891799999957
99891,Sofitel Singapore Sentosa Resort & Spa,Level 1 Pool Side Bar,1.3091316668874,103.891799999957
99891,Sofitel Singapore Sentosa Resort & Spa,Level 1 Inside Guardroom,1.3091316668874,103.891799999957
